latitude,longitude,name,comments,rating,cp
19.4640836,-99.1556617,OXXO,138,4.2,11360
19.4493779,-99.1600231,Oxxo,17,2.9,11360
19.4565986,-99.1884229,Oxxo,16,3.5,11360
19.4468424,-99.1574657,OXXO,9,3.4,11360
19.4447067,-99.1761586,OXXO,47,3.7,11360
19.4466235,-99.190199,OXXO Anáhuac I,14,3.0,11360
19.4511956,-99.1725448,Oxxo Plan de Ayala,154,3.7,11360
19.441403,-99.1628389,Oxxo Gabino barreda,15,2.8,11360
19.4454618,-99.1830273,Oxxo,32,3.2,11360
19.4624604,-99.1883411,Oxxo Tehuantepec,25,3.2,11360
19.463926,-99.1699135,Oxxo,250,3.9,11360
19.4393637,-99.159395,Oxxo,22,3.8,11360
19.4363416,-99.1790899,Oxxo Bahía de San Hipólito,6,4.0,11360
19.4625094,-99.1784694,Oxxo Egipto,10,3.1,11360
19.4546015,-99.1914361,OXXO Lago Ontario,17,2.8,11360
19.4606028,-99.1780545,Oxxo,53,4.1,11360
19.4626714,-99.1916751,Oxxo,27,2.7,11360
19.4479703,-99.1531841,Oxxo,323,3.6,11360
19.4318035,-99.1732996,Oxxo Anzures,25,2.3,11360
19.4563833,-99.1807509,Oxxo Popotla,18,2.7,11360
19.4650162,-99.1803736,Oxxo Clavería,18,3.7,11360
19.4281294,-99.1641174,Oxxo,16,2.9,11360
19.4687276,-99.1762772,Oxxo,5,2.6,11360
19.451153,-99.1608224,OXXO Fresno,37,4.0,11360
19.4528604,-99.1891823,Oxxo San Matías,9,1.8,11360
19.4548353,-99.1553594,Oxxo,7,2.9,11360
19.4511227,-99.1903175,Oxxo Lago Chiem,27,3.9,11360
19.4587322,-99.1849483,Oxxo Mar,106,3.9,11360
19.4349387,-99.175985,Oxxo Chachalacas.,15,3.9,11360
19.4551643,-99.1578241,OXXO Naranjo,10,3.5,11360
19.4702428,-99.1786906,OXXO Salonica,374,3.9,11360
19.4430399,-99.1923172,OXXO Lago Hielmar,17,2.6,11360
19.4363607,-99.152854,Oxxo,5,2.6,11360
19.4361679,-99.1684128,OXXO Parque Via,54,3.9,11360
19.4370794,-99.1494749,Oxxo,5,3.4,11360
19.4342786,-99.1635715,OXXO Sullivan,13,3.9,11360
19.4677593,-99.1521036,OXXO,11,2.2,11360
19.4381474,-99.1648031,OXXO Guillermo Prieto,22,2.9,11360
19.4419869,-99.1830897,Oxxo,179,3.8,11360
19.4528524,-99.1582577,Onix Oxxo,24,3.6,11360
19.4318397,-99.177094,OXXO Shakespeare,9,3.7,11360
19.4711275,-99.1590456,Oxxo,59,4.1,11360
19.439476,-99.1554,OXXO Ezequiel Montes,9,3.8,11360
19.4412492,-99.1581765,OXXO,1,4.0,11360
19.4367136,-99.1568131,OXXO Tabacalera,25,3.1,11360
19.4357663,-99.1695752,Oxxo,7,3.3,11360
19.4400381,-99.1485339,Oxxo mina I,12,3.2,11360
19.4451867,-99.1585671,OXXO,4,4.0,11360
19.4381584,-99.1513015,OXXO Puente de Alvarado,8,4.1,11360
19.4451462,-99.1472471,OXXO MOSQUETA,11,2.6,11360
19.4485064,-99.1562344,Oxxo,31,2.7,11360
19.4575971,-99.1448261,Oxxo,28,3.2,11360
19.4460954,-99.1534946,Oxxo,14,2.6,11360
